oracion_id,caso,palabra_origen,subpalabras_origen,capa,cabeza,rango,token_destino,posicion_destino,peso
44,leche_azucar,leche,lec ##he,12,1,1,##úcar,16,0.2256798893213272
44,leche_azucar,leche,lec ##he,12,1,2,az,15,0.1003381684422493
44,leche_azucar,leche,lec ##he,12,1,3,.,28,0.08488752692937851
44,leche_azucar,leche,lec ##he,12,1,4,pan,27,0.07688893377780914
44,leche_azucar,leche,lec ##he,12,1,5,lec,12,0.06942672282457352
44,leche_azucar,leche,lec ##he,12,6,1,[CLS],0,0.1741224229335785
44,leche_azucar,leche,lec ##he,12,6,2,[SEP],29,0.13800491392612457
44,leche_azucar,leche,lec ##he,12,6,3,.,28,0.10433625429868698
44,leche_azucar,leche,lec ##he,12,6,4,de,26,0.07976210862398148
44,leche_azucar,leche,lec ##he,12,6,5,de,11,0.0757904052734375
44,leche_azucar,leche,lec ##he,12,12,1,lec,12,0.6254565119743347
44,leche_azucar,leche,lec ##he,12,12,2,az,15,0.23715722560882568
44,leche_azucar,leche,lec ##he,12,12,3,lle,9,0.03557124361395836
44,leche_azucar,leche,lec ##he,12,12,4,pan,27,0.02467743493616581
44,leche_azucar,leche,lec ##he,12,12,5,de,26,0.017534473910927773
44,leche_azucar,azúcar,az ##úcar,1,1,1,az,15,0.19274573028087616
44,leche_azucar,azúcar,az ##úcar,1,1,2,[CLS],0,0.09429915249347687
44,leche_azucar,azúcar,az ##úcar,1,1,3,##cito,24,0.057332225143909454
44,leche_azucar,azúcar,az ##úcar,1,1,4,[SEP],29,0.049657344818115234
44,leche_azucar,azúcar,az ##úcar,1,1,5,",",17,0.04804062843322754
44,leche_azucar,azúcar,az ##úcar,1,6,1,que,20,0.10270403325557709
44,leche_azucar,azúcar,az ##úcar,1,6,2,[CLS],0,0.09324068576097488
44,leche_azucar,azúcar,az ##úcar,1,6,3,En,1,0.07817276567220688
44,leche_azucar,azúcar,az ##úcar,1,6,4,de,11,0.06848527491092682
44,leche_azucar,azúcar,az ##úcar,1,6,5,en,18,0.06503432244062424
44,leche_azucar,azúcar,az ##úcar,1,12,1,una,5,0.07378052920103073
44,leche_azucar,azúcar,az ##úcar,1,12,2,que,20,0.06797506660223007
44,leche_azucar,azúcar,az ##úcar,1,12,3,de,26,0.06717666983604431
44,leche_azucar,azúcar,az ##úcar,1,12,4,de,11,0.06355555355548859
44,leche_azucar,azúcar,az ##úcar,1,12,5,en,18,0.059770211577415466
44,leche_azucar,azúcar,az ##úcar,6,1,1,[CLS],0,0.27354422211647034
44,leche_azucar,azúcar,az ##úcar,6,1,2,[SEP],29,0.09084001928567886
44,leche_azucar,azúcar,az ##úcar,6,1,3,.,28,0.06872256845235825
44,leche_azucar,azúcar,az ##úcar,6,1,4,tro,23,0.06353642791509628
44,leche_azucar,azúcar,az ##úcar,6,1,5,ca,6,0.05523139610886574
44,leche_azucar,azúcar,az ##úcar,6,6,1,[CLS],0,0.15677669644355774
44,leche_azucar,azúcar,az ##úcar,6,6,2,##úcar,16,0.10390724986791611
44,leche_azucar,azúcar,az ##úcar,6,6,3,lec,12,0.06860092282295227
44,leche_azucar,azúcar,az ##úcar,6,6,4,##con,2,0.06392970681190491
44,leche_azucar,azúcar,az ##úcar,6,6,5,de,11,0.057440102100372314
44,leche_azucar,azúcar,az ##úcar,6,12,1,az,15,0.1746051162481308
44,leche_azucar,azúcar,az ##úcar,6,12,2,##úcar,16,0.1236208900809288
44,leche_azucar,azúcar,az ##úcar,6,12,3,lec,12,0.12072693556547165
44,leche_azucar,azúcar,az ##úcar,6,12,4,[CLS],0,0.09499047696590424
44,leche_azucar,azúcar,az ##úcar,6,12,5,con,14,0.06642170250415802
44,leche_azucar,azúcar,az ##úcar,12,1,1,##úcar,16,0.19675062596797943
44,leche_azucar,azúcar,az ##úcar,12,1,2,az,15,0.14605548977851868
44,leche_azucar,azúcar,az ##úcar,12,1,3,.,28,0.09325171262025833
44,leche_azucar,azúcar,az ##úcar,12,1,4,de,26,0.09118318557739258
44,leche_azucar,azúcar,az ##úcar,12,1,5,[CLS],0,0.08767089247703552
44,leche_azucar,azúcar,az ##úcar,12,6,1,[CLS],0,0.21763287484645844
44,leche_azucar,azúcar,az ##úcar,12,6,2,[SEP],29,0.14485391974449158
44,leche_azucar,azúcar,az ##úcar,12,6,3,de,26,0.09284384548664093
44,leche_azucar,azúcar,az ##úcar,12,6,4,.,28,0.0798460990190506
44,leche_azucar,azúcar,az ##úcar,12,6,5,de,11,0.0703640803694725
44,leche_azucar,azúcar,az ##úcar,12,12,1,az,15,0.821912407875061
44,leche_azucar,azúcar,az ##úcar,12,12,2,lec,12,0.06633543223142624
44,leche_azucar,azúcar,az ##úcar,12,12,3,de,26,0.029918577522039413
44,leche_azucar,azúcar,az ##úcar,12,12,4,pan,27,0.01929588057100773
44,leche_azucar,azúcar,az ##úcar,12,12,5,[SEP],29,0.01521046832203865
